prod_reg_id,date,value
pas_0,2019-02-01,14983000000.0
pas_1,2019-02-01,8171000000.0
pas_2,2019-02-01,16079000000.0
pas_3,2019-02-01,37049000000.0
pas_4,2019-02-01,5794000000.0
pas_5,2019-02-01,518518000000.0
pas_6,2019-02-01,13824000000.0
pas_7,2019-02-01,2594000000.0
pas_8,2019-02-01,526000000.0
pas_9,2019-02-01,12358000000.0
pas_10,2019-02-01,6048000000.0
pas_11,2019-02-01,32648000000.0
pas_12,2019-02-01,12868000000.0
pas_13,2019-02-01,471000000.0
pas_14,2019-02-01,533000000.0
pas_15,2019-02-01,57822000000.0
pas_16,2019-02-01,61162000000.0
pas_17,2019-02-01,1554000000.0
pas_0,2019-03-01,16173000000.0
pas_1,2019-03-01,8212000000.0
pas_2,2019-03-01,16093000000.0
pas_2,2019-03-01,16093000000.0
pas_2,2019-03-01,16093000000.0
pas_3,2019-03-01,39282000000.0
pas_4,2019-03-01,5827000000.0
pas_5,2019-03-01,537982000000.0
pas_6,2019-03-01,10825000000.0
pas_7,2019-03-01,2595000000.0
pas_8,2019-03-01,398000000.0
pas_9,2019-03-01,11817000000.0
pas_10,2019-03-01,7077000000.0
pas_11,2019-03-01,27879000000.0
pas_12,2019-03-01,12451000000.0
pas_13,2019-03-01,1085000000.0
pas_14,2019-03-01,403000000.0
pas_15,2019-03-01,49648000000.0
pas_16,2019-03-01,65032000000.0
pas_17,2019-03-01,1645000000.0
pas_0,2019-04-01,15042000000.0
pas_1,2019-04-01,7216000000.0
pas_2,2019-04-01,16392000000.0
pas_3,2019-04-01,38028000000.0
pas_4,2019-04-01,6143000000.0
pas_5,2019-04-01,551433000000.0
pas_6,2019-04-01,10572000000.0
pas_7,2019-04-01,2920000000.0
pas_8,2019-04-01,529000000.0
pas_9,2019-04-01,11316000000.0
pas_10,2019-04-01,6420000000.0
pas_11,2019-04-01,33177000000.0
pas_12,2019-04-01,13626000000.0
pas_13,2019-04-01,1018000000.0
pas_14,2019-04-01,256000000.0
pas_15,2019-04-01,56417000000.0
pas_16,2019-04-01,61284000000.0
pas_17,2019-04-01,1636000000.0
pas_0,2019-05-01,16105000000.0
pas_1,2019-05-01,7057000000.0
pas_2,2019-05-01,16227000000.0
pas_3,2019-05-01,34846000000.0
pas_4,2019-05-01,5897000000.0
pas_5,2019-05-01,604616000000.0
pas_6,2019-05-01,11575000000.0
pas_7,2019-05-01,3086000000.0
pas_8,2019-05-01,448000000.0
pas_9,2019-05-01,10597000000.0
pas_10,2019-05-01,6456000000.0
pas_11,2019-05-01,36673000000.0
pas_12,2019-05-01,13157000000.0
pas_13,2019-05-01,986000000.0
pas_14,2019-05-01,231000000.0
pas_15,2019-05-01,49293000000.0
pas_16,2019-05-01,62122000000.0
pas_17,2019-05-01,1657000000.0
pas_0,2019-06-01,18094000000.0
pas_1,2019-06-01,7362000000.0
pas_2,2019-06-01,14231000000.0
pas_3,2019-06-01,34096000000.0
pas_4,2019-06-01,7482000000.0
pas_5,2019-06-01,609268000000.0
pas_6,2019-06-01,11239000000.0
pas_7,2019-06-01,2828000000.0
pas_8,2019-06-01,480000000.0
pas_9,2019-06-01,10361000000.0
pas_10,2019-06-01,7498000000.0
pas_11,2019-06-01,36477000000.0
pas_12,2019-06-01,12822000000.0
pas_13,2019-06-01,893000000.0
pas_14,2019-06-01,134000000.0
pas_15,2019-06-01,56800000000.0
pas_16,2019-06-01,60024000000.0
pas_17,2019-06-01,1637000000.0
pas_0,2019-07-01,15041000000.0
pas_1,2019-07-01,6229000000.0
pas_2,2019-07-01,15228000000.0
pas_3,2019-07-01,34579000000.0
pas_4,2019-07-01,7215000000.0
pas_5,2019-07-01,586112000000.0
pas_6,2019-07-01,11709000000.0
pas_6,2019-07-01,11709000000.0
pas_7,2019-07-01,2220000000.0
pas_8,2019-07-01,427000000.0
pas_9,2019-07-01,8690000000.0
pas_10,2019-07-01,7052000000.0
pas_11,2019-07-01,27302000000.0
pas_12,2019-07-01,13010000000.0
pas_13,2019-07-01,552000000.0
pas_14,2019-07-01,123000000.0
pas_15,2019-07-01,72615000000.0
pas_16,2019-07-01,63408000000.0
pas_17,2019-07-01,1627000000.0
pas_0,2019-08-01,13095000000.0
pas_1,2019-08-01,6831000000.0
pas_2,2019-08-01,16719000000.0
pas_3,2019-08-01,32734000000.0
pas_4,2019-08-01,6986000000.0
pas_5,2019-08-01,601373000000.0
pas_6,2019-08-01,12765000000.0
pas_7,2019-08-01,2826000000.0
pas_8,2019-08-01,404000000.0
