date;interest_rate
01.02.2015;0.15
01.03.2015;0.15
01.04.2015;0.14
01.05.2015;0.14
01.06.2015;0.125
01.07.2015;0.115
01.08.2015;0.115
01.09.2015;0.11
01.10.2015;0.11
01.11.2015;0.11
01.12.2015;0.11
01.01.2016;0.11
01.02.2016;0.11
01.03.2016;0.11
01.04.2016;0.11
01.05.2016;0.11
01.06.2016;0.11
01.07.2016;0.105
01.08.2016;0.105
01.09.2016;0.105
01.10.2016;0.1
01.11.2016;0.1
01.12.2016;0.1
01.01.2017;0.1
01.02.2017;0.1
01.03.2017;0.1
01.04.2017;0.0975
01.05.2017;0.0975
01.06.2017;0.0925
01.07.2017;0.09
01.08.2017;0.09
01.09.2017;0.09
01.10.2017;0.085
01.11.2017;0.0825
01.12.2017;0.0825
01.01.2018;0.0775
01.02.2018;0.0775
01.03.2018;0.075
01.04.2018;0.0725
01.05.2018;0.0725
01.06.2018;0.0725
01.07.2018;0.0725
01.08.2018;0.0725
01.09.2018;0.0725
01.10.2018;0.075
01.11.2018;0.075
01.12.2018;0.075
01.01.2019;0.075
01.02.2019;0.075
01.03.2019;0.075
01.04.2019;0.075
01.05.2019;0.075
01.06.2019;0.075
01.07.2019;0.075
01.08.2019;0.0725
01.09.2019;0.0725
01.10.2019;0.07
01.11.2019;0.065
01.12.2019;0.065
01.01.2020;0.0625
01.02.2020;0.0625
